ru.yourok.torrserve	176	11234011
dev.patrickgold.florisboard	117	14143390
app.organicmaps	26082718	64105378
com.chess.clock	28	3256553
com.kitsumed.shizucallrecorder	19	5157407
org.fossify.filemanager	13	9982225
io.github.rumcajs.offlinewebsearch	28	15384279
de.marmaro.krt.ffupdater	179	4956874
org.cryptomator.lite	3030	20585634
com.github.catfriend1.syncthingfork	2010300	68382292
org.vinaygopinath.launchchat	8	2806428
com.streetwriters.notesnook	15589	40053928
org.fossify.gallery	28	38606538
com.cbouvat.android.saracroche	38	4706307
me.knighthat.kreate	141	18856180
fm.helio	317	9397888
com.foxdebug.acode	1008	16826562
rak.pixellwp	12	5987301
org.localsend.localsend_app	643	46558706
org.catrobat.paintroid	54	3606321
app.chompass	76	20241303
cn.rbc.termuc	13	196745
com.bitmavrick.lumolight	23	1475869
com.chooloo.www.koler	82	5042508
com.github.lamarios.clipious	60773	60437201
com.tnibler.cryptocam	18	9901000
com.jens.automation2	149	5962623
com.machiav3lli.fdroid	1209	5649427
com.mardous.booming	1400300	22933600
com.nathanatos.Cuppa	72	60077012
com.prof18.feedflow	6219	5190537
com.vincent_falzon.discreetlauncher	72	1439083
com.wirelessalien.android.moviedb	49	5954328
dubrowgn.wattz	20	700599
info.plateaukao.einkbro	160600	5221859
io.github.muntashirakon.captiveportalcontroller	3	67131
io.github.mwageringel.everest	15	21218698
io.github.pastthepixels.freepaint	5	5057984
ir.ammari.nodelook	6	133701
me.hackerchick.catima	1002	5250454
net.stargw.fok	66	1634720
ogz.tripeaks	36	1169110
org.billthefarmer.editor	198	269122
org.billthefarmer.gurgle	136	1495464
org.breezyweather	60202	20779665
org.dolphinemu.dolphinemu	42460	20588646
org.woheller69.level	35	1342270
org.xbmc.kore	33	5046584
ru.aleshin.timeplanner	33	5876339
website.leifs.delta.foss	219004	60524056
