ru.yourok.torrserve	176	11234011
dev.patrickgold.florisboard	117	14143390
app.organicmaps	26082718	64105378
net.cozic.joplin	2097810	151436585
com.chess.clock	28	3256553
com.kitsumed.shizucallrecorder	19	5157407
org.fossify.filemanager	13	9982225
io.github.rumcajs.offlinewebsearch	28	15384279
de.marmaro.krt.ffupdater	179	4956874
org.cryptomator.lite	3030	20585634
com.shabinder.spotiflyer		12765
com.github.catfriend1.syncthingfork	2010300	68382292
org.vinaygopinath.launchchat	8	2806428
com.streetwriters.notesnook	15589	40053928
org.fossify.gallery	28	38606538
com.cbouvat.android.saracroche	38	4706307
me.knighthat.kreate	141	18856180
fm.helio	317	9397888
com.foxdebug.acode	1008	16826562
rak.pixellwp	12	5987301
org.localsend.localsend_app	643	46558706
org.catrobat.paintroid	54	3606321
troop.com.freedcam	282	10833869
org.pocketworkstation.pckeyboard	1041001	2837713
se.arctosoft.vault	41	6261142
de.luhmer.owncloudnewsreader	197	4097543
net.minetest.minetest	5170000	43074578
com.annie.dictionary.fork	20210415	4338387
io.github.yamin8000.owl	58	3162474
xyz.deepdaikon.xeonjia	21	30693290
